ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
214,1.2,1.4,1.3,50.1,10.2,3.1,18.27,0.2,0.1,0.1
217,1.0,1.4,0.5,48.5,10.3,3.0,17.39,0.2,0.0,0.0
250,0.9,1.1,2.9,47.3,10.2,2.9,17.43,0.2,0.0,0.0
282,0.8,1.1,0.8,47.5,9.5,3.2,17.74,0.3,0.0,0.2
298,0.9,1.0,1.2,46.0,9.7,3.6,18.01,0.4,0.0,0.2
317,0.8,1.1,0.5,45.9,9.5,3.6,17.71,0.4,0.0,0.2
324,0.8,0.8,2.0,44.9,9.4,3.4,18.04,0.5,0.0,0.2
343,0.8,0.9,0.3,46.3,10.2,3.4,17.36,0.4,0.0,0.2
375,0.7,0.9,0.2,44.6,9.4,3.3,17.02,0.4,0.0,0.2
385,0.7,1.0,1.0,45.7,9.4,3.3,17.18,0.4,0.0,0.2
414,0.8,1.1,0.3,48.6,10.1,3.7,17.16,0.5,0.0,0.2
440,0.8,1.1,0.8,50.8,9.2,3.5,17.69,0.5,0.0,0.2
456,0.8,1.1,0.8,51.6,9.0,3.7,17.36,0.4,0.0,0.2
474,0.8,1.0,1.0,51.2,8.8,3.4,17.06,0.3,0.0,0.0
492,0.8,1.1,0.4,51.3,8.9,3.4,16.88,0.2,0.0,0.0
512,0.7,1.1,1.3,53.2,9.0,3.3,17.62,0.2,0.0,0.0
521,0.8,1.2,1.6,56.1,8.8,3.4,16.86,0.2,0.0,0.0
561,0.9,1.2,0.9,54.9,8.5,3.4,17.06,0.3,0.0,0.0
568,0.9,1.1,1.7,56.3,9.8,3.7,17.8,0.4,0.0,0.0
593,1.2,1.1,1.1,56.7,10.5,4.1,17.45,0.4,0.0,0.0
607,1.1,1.1,1.6,56.0,10.5,3.9,17.75,0.3,0.0,0.0
614,1.2,1.1,0.7,56.5,11.2,4.2,17.08,0.3,0.0,0.0
642,1.1,1.2,1.5,56.2,11.4,4.1,17.39,0.3,0.0,0.0
683,1.2,1.4,0.6,56.6,11.8,4.2,17.2,0.3,0.0,0.0
690,1.2,1.3,0.6,56.0,11.7,3.9,17.81,0.3,0.0,0.0
700,1.3,1.1,0.2,54.9,12.3,4.1,17.74,0.3,0.0,0.0
717,1.2,1.3,2.6,51.9,11.6,3.9,18.04,0.3,0.0,0.0
743,1.4,1.2,2.2,51.4,11.7,4.3,18.31,0.2,0.1,0.2
769,1.4,1.2,1.5,51.1,11.4,4.3,17.72,0.1,0.1,0.2
787,1.3,1.1,1.7,49.9,11.7,4.2,17.55,0.1,0.1,0.2
802,1.4,1.0,1.4,49.3,11.3,3.9,17.64,0.1,0.2,0.3
830,1.3,1.2,1.4,49.0,10.8,3.6,17.94,0.1,0.3,0.4
848,1.6,1.3,1.9,48.6,10.4,3.9,17.05,0.1,0.3,0.4
868,1.5,1.3,0.5,49.0,11.0,4.2,17.35,0.1,0.3,0.4
889,1.4,1.5,1.5,50.6,11.0,4.1,17.02,0.1,0.3,0.4
911,1.6,1.7,0.6,52.6,11.7,4.5,17.04,0.4,0.3,0.4
928,1.9,1.5,2.2,55.7,12.2,4.8,16.51,0.3,0.3,0.4
954,2.0,1.6,1.7,55.7,12.6,4.8,16.26,0.4,0.2,0.2
974,2.1,1.7,2.5,57.0,12.4,4.6,16.53,0.4,0.2,0.2
1015,2.0,1.7,2.7,60.5,12.6,4.9,16.15,0.5,0.2,0.2
1041,2.0,1.9,2.7,61.7,13.1,5.1,15.87,0.5,0.1,0.1
1053,2.1,1.7,1.4,61.9,14.1,5.5,16.03,0.5,0.0,0.0
1062,1.9,1.6,2.9,63.8,15.2,5.3,16.67,0.5,0.0,0.0
1078,2.1,1.5,2.3,62.3,15.7,5.6,16.67,0.5,0.0,0.0
1116,2.1,1.5,1.7,64.5,16.6,6.1,16.41,0.5,0.0,0.0
1118,2.1,1.3,0.5,63.3,15.9,5.9,16.52,0.2,0.0,0.0
1134,1.9,1.6,1.4,63.2,16.0,5.7,16.87,0.2,0.0,0.0
1152,1.6,1.7,2.2,64.0,14.9,5.3,16.8,0.1,0.0,0.0
1183,1.8,1.6,1.7,63.0,15.2,5.7,16.66,0.1,0.0,0.0
1200,2.0,1.6,1.7,61.3,14.5,5.8,17.01,0.0,0.0,0.0
1224,1.9,2.0,0.8,61.2,14.1,5.8,16.95,0.0,0.0,0.0
1246,1.8,2.2,0.5,59.4,13.0,5.5,16.47,0.0,0.0,0.0
1263,1.8,2.1,1.3,60.8,12.0,5.3,16.39,0.1,0.0,0.0
1276,1.9,2.2,1.1,60.4,10.3,4.7,16.66,0.2,0.1,0.1
1308,2.0,2.2,0.7,59.8,10.4,4.9,16.8,0.3,0.1,0.1
1310,1.7,2.4,1.2,59.0,9.8,4.4,16.66,0.3,0.1,0.1
1338,1.7,2.1,2.3,59.0,10.8,4.8,16.7,0.3,0.1,0.1
1350,1.6,1.9,0.9,59.9,12.2,5.2,16.32,0.3,0.1,0.1
1372,1.2,2.2,1.2,60.5,11.5,4.6,16.15,0.3,0.1,0.1
1386,1.0,2.3,2.9,59.7,11.0,4.0,16.22,0.3,0.2,0.2
1403,1.4,1.7,1.3,61.5,12.3,4.6,16.19,0.3,0.2,0.2
1432,1.3,1.8,0.5,64.0,13.3,4.8,16.74,0.3,0.2,0.2
1439,1.3,1.9,1.1,60.6,13.5,4.9,16.9,0.2,0.2,0.2
1458,1.0,1.7,0.9,61.9,15.0,5.1,16.92,0.1,0.1,0.1
1485,0.9,1.5,0.9,60.7,15.2,5.0,16.9,0.1,0.1,0.1
1499,0.9,1.6,1.4,62.5,15.9,5.0,16.86,0.1,0.1,0.1
1526,0.9,1.6,1.4,60.3,15.6,4.8,16.72,0.1,0.1,0.1
1541,1.2,1.6,1.7,59.5,14.4,4.5,16.66,0.1,0.1,0.1
1574,1.3,1.3,1.1,60.0,15.7,4.7,17.2,0.1,0.1,0.1
1595,1.4,1.5,1.1,61.1,16.7,5.0,17.43,0.3,0.0,0.0
1616,1.0,1.5,1.0,57.2,15.3,4.6,17.52,0.3,0.0,0.0
1635,1.1,1.4,0.9,55.3,15.1,4.6,17.72,0.5,0.0,0.0
1659,1.2,1.3,1.4,55.3,14.8,4.7,17.39,0.5,0.0,0.0
1667,1.3,1.6,1.5,54.4,13.7,4.4,17.05,0.6,0.0,0.0
1682,1.4,1.7,0.9,53.2,13.3,4.3,17.11,0.7,0.0,0.0
1706,1.5,1.5,1.1,51.6,13.2,4.8,16.96,0.7,0.0,0.0
1728,1.6,1.6,1.0,51.4,13.0,4.8,17.25,0.7,0.0,0.0
1737,1.5,1.6,1.9,50.7,13.1,4.8,17.28,0.7,0.0,0.0
1750,1.7,1.6,0.9,49.2,11.5,4.7,16.88,0.7,0.0,0.0
1775,1.5,1.9,3.9,49.5,11.0,4.7,16.66,0.6,0.0,0.0
1805,1.8,1.9,2.0,50.5,11.8,5.4,16.52,0.7,0.0,0.0
1821,1.9,1.9,1.0,49.4,12.0,5.2,16.0,0.6,0.0,0.0
1844,1.8,2.0,1.4,51.1,12.5,5.3,16.28,0.6,0.0,0.0
1872,1.9,2.1,1.6,50.7,12.4,5.3,16.16,0.7,0.0,0.0
1897,1.9,1.9,2.2,50.7,11.4,4.7,16.51,0.5,0.1,0.1
