ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
233,1.0,1.4,2.5,47.9,11.2,3.7,19.0,0.8,0.2,0.4
236,0.9,1.0,0.5,48.0,11.1,3.5,18.45,0.7,0.1,0.3
253,1.0,1.0,1.4,48.1,10.9,3.6,18.34,0.6,0.1,0.3
271,0.9,0.9,1.3,48.3,11.1,3.4,18.32,0.6,0.1,0.2
297,1.0,0.8,1.0,47.3,10.9,3.5,17.48,0.4,0.1,0.1
314,0.9,1.0,0.9,48.8,11.5,3.8,17.58,0.3,0.0,0.0
332,1.0,0.9,0.3,48.8,11.1,3.7,18.68,0.3,0.1,0.1
355,0.9,1.0,0.8,48.8,11.0,3.6,18.91,0.2,0.1,0.1
361,0.9,1.2,0.9,49.4,10.5,3.5,18.86,0.1,0.1,0.1
775,1.0,1.3,1.5,48.7,10.3,3.8,18.86,0.1,0.1,0.1
797,0.8,1.1,0.8,46.6,9.9,3.3,18.67,0.1,0.1,0.2
817,0.7,1.3,0.7,44.5,9.8,3.3,18.44,0.1,0.1,0.2
821,0.7,1.4,0.9,44.0,9.9,3.3,18.43,0.1,0.1,0.2
843,1.0,1.6,0.7,43.9,9.8,3.6,18.3,0.2,0.1,0.2
871,1.0,1.9,1.8,45.2,9.6,3.5,18.69,0.3,0.1,0.2
888,1.2,1.8,1.0,44.8,9.2,3.2,17.63,0.3,0.1,0.2
908,1.2,1.9,2.5,44.7,9.3,3.3,17.27,0.3,0.1,0.2
930,1.5,1.7,1.7,46.0,10.6,4.0,16.55,0.4,0.1,0.2
946,1.5,1.4,1.1,44.6,10.7,3.9,16.81,0.4,0.1,0.2
960,1.4,1.4,0.6,44.1,10.3,3.4,17.02,0.4,0.1,0.3
984,1.4,1.4,0.3,43.4,10.5,3.6,17.75,0.4,0.1,0.2
1011,1.4,1.2,1.4,44.0,9.9,3.5,17.98,0.4,0.1,0.2
1035,1.5,1.3,0.8,45.5,9.9,3.7,18.01,0.5,0.1,0.2
1059,1.3,1.3,1.8,45.3,9.4,3.2,17.93,0.3,0.1,0.2
1076,1.5,1.1,0.1,45.7,10.7,3.7,18.06,0.2,0.1,0.2
1096,1.2,1.0,0.9,46.3,9.7,3.3,18.34,0.2,0.1,0.2
1113,1.1,0.9,1.4,47.6,10.3,3.5,17.4,0.2,0.0,0.1
1137,1.0,0.9,1.8,47.6,8.9,2.8,17.81,0.1,0.0,0.1
1146,1.0,1.1,1.5,48.4,8.7,2.8,17.63,0.2,0.0,0.2
1163,1.1,1.0,0.6,50.4,9.2,3.0,17.06,0.2,0.0,0.1
1173,1.3,1.2,1.4,49.9,9.0,2.9,16.54,0.2,0.0,0.1
1192,1.3,1.7,0.6,49.6,9.1,3.1,16.08,0.2,0.0,0.1
1230,1.1,1.4,1.0,48.2,9.2,3.1,16.21,0.2,0.0,0.1
1239,1.0,1.4,0.7,47.0,9.2,3.2,16.32,0.2,0.0,0.1
1259,0.8,1.4,0.9,44.5,8.1,3.0,16.46,0.2,0.0,0.1
1278,0.9,1.6,1.2,44.5,8.9,3.5,16.94,0.2,0.0,0.1
1304,1.2,1.9,0.3,44.1,8.9,3.7,16.59,0.2,0.0,0.1
1321,1.0,2.2,0.3,40.7,8.6,3.8,17.15,0.2,0.0,0.1
1340,0.9,2.3,0.8,41.7,8.5,3.9,17.55,0.2,0.0,0.0
1360,0.8,2.4,1.5,40.4,9.0,4.1,18.43,0.4,0.0,0.0
1392,0.8,2.4,1.2,43.1,9.7,4.5,17.97,0.4,0.0,0.0
1412,0.9,2.0,2.6,44.2,10.8,4.6,18.54,0.4,0.0,0.0
1429,1.0,2.2,1.3,44.5,12.1,4.7,18.08,0.3,0.0,0.0
1434,1.3,2.3,1.5,47.3,13.5,5.3,18.08,0.3,0.0,0.0
1461,1.3,2.5,3.2,51.0,14.3,5.1,17.38,0.3,0.0,0.0
1492,1.4,2.2,1.3,50.3,15.2,5.6,16.94,0.3,0.0,0.0
1518,1.1,1.8,1.1,51.0,15.8,5.4,17.35,0.3,0.0,0.0
1521,1.5,1.7,0.4,53.9,16.8,5.8,17.2,0.5,0.0,0.0
1544,1.5,1.5,0.9,52.7,17.0,5.7,16.73,0.4,0.0,0.0
1573,1.6,1.5,1.3,53.4,16.5,5.7,15.84,0.2,0.0,0.0
1585,1.5,1.3,2.6,53.7,16.3,5.1,16.54,0.2,0.1,0.1
1606,1.5,1.5,1.2,53.6,15.7,5.0,16.23,0.2,0.1,0.1
1622,1.5,1.4,1.8,54.4,14.8,4.7,16.64,0.2,0.1,0.1
1647,1.4,1.1,1.5,53.5,14.1,4.5,16.58,0.2,0.1,0.1
1673,1.4,0.9,1.2,51.8,13.7,4.8,16.69,0.2,0.1,0.1
1694,1.4,1.1,1.8,51.5,13.1,4.1,16.87,0.3,0.1,0.1
