ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
111,1.7,1.1,1.3,63.5,15.6,5.1,18.51,0.7,0.2,0.3
119,1.545,1.0,2.2,62.636,15.0,4.818,18.491,0.727,0.182,0.273
129,1.5,1.0,0.9,63.833,15.917,5.0,18.375,0.833,0.167,0.25
142,1.462,0.923,3.0,62.923,15.538,5.0,18.508,0.769,0.154,0.231
163,1.5,0.857,2.7,63.714,15.214,5.071,18.064,0.714,0.143,0.214
168,1.6,0.867,2.0,62.533,15.4,5.133,17.867,0.733,0.133,0.2
178,1.562,0.812,0.7,62.688,15.375,5.188,17.806,0.688,0.125,0.25
182,1.706,0.765,3.4,63.176,15.235,5.235,17.882,0.765,0.118,0.235
188,1.722,0.722,1.8,63.5,15.889,5.389,17.767,0.722,0.167,0.278
198,1.895,0.684,1.5,64.211,16.0,5.474,17.747,0.684,0.158,0.263
210,1.85,0.65,2.0,64.75,15.7,5.45,17.72,0.65,0.15,0.25
223,1.857,0.619,3.5,65.19,15.571,5.476,17.614,0.619,0.143,0.238
228,1.955,0.636,2.2,64.227,15.182,5.455,17.423,0.591,0.136,0.273
237,2.0,0.609,1.0,64.043,15.13,5.435,17.374,0.565,0.174,0.304
245,2.042,0.625,1.8,64.333,15.167,5.5,17.396,0.542,0.167,0.292
249,2.0,0.6,0.5,63.96,15.16,5.4,17.348,0.52,0.16,0.28
259,2.0,0.615,3.3,63.923,14.962,5.308,17.465,0.5,0.154,0.269
272,2.074,0.63,1.3,64.222,15.222,5.481,17.359,0.481,0.148,0.259
276,2.0,0.679,2.6,64.286,15.5,5.5,17.407,0.5,0.143,0.25
281,2.103,0.724,2.2,64.069,15.552,5.655,17.359,0.483,0.138,0.241
293,2.133,0.7,1.4,63.733,15.267,5.667,17.29,0.467,0.167,0.267
302,2.129,0.677,2.1,63.484,15.129,5.613,17.2,0.484,0.161,0.258
319,2.094,0.719,1.2,63.719,15.562,5.656,17.253,0.5,0.156,0.25
330,2.091,0.727,1.7,63.97,15.485,5.576,17.315,0.545,0.152,0.242
341,2.088,0.706,1.8,64.088,15.618,5.5,17.235,0.559,0.147,0.235
353,2.057,0.743,1.5,63.629,15.6,5.429,17.314,0.543,0.143,0.257
363,2.111,0.806,0.9,64.139,15.583,5.444,17.389,0.556,0.139,0.25
378,2.108,0.865,2.5,63.405,15.378,5.405,17.303,0.568,0.135,0.243
390,2.184,0.842,1.8,63.5,15.526,5.553,17.258,0.553,0.132,0.237
394,2.128,0.846,2.6,63.538,15.59,5.513,17.259,0.564,0.128,0.231
401,2.2,0.825,4.4,63.625,15.6,5.475,17.29,0.575,0.125,0.225
416,2.268,0.805,2.8,64.024,15.829,5.585,17.229,0.561,0.122,0.22
425,2.238,0.786,1.0,63.952,16.048,5.643,17.16,0.548,0.119,0.214
431,2.186,0.767,1.7,63.953,16.047,5.535,17.142,0.558,0.116,0.209
450,2.159,0.75,1.2,63.841,16.023,5.477,17.141,0.545,0.114,0.205
454,2.156,0.778,2.1,63.556,15.933,5.422,17.138,0.556,0.111,0.2
467,2.152,0.761,3.8,63.696,15.913,5.435,17.078,0.543,0.109,0.196
472,2.191,0.766,0.7,63.447,16.064,5.574,17.055,0.553,0.106,0.191
482,2.146,0.792,1.6,63.542,16.021,5.521,17.069,0.542,0.104,0.188
499,2.143,0.776,2.5,63.612,16.02,5.51,17.02,0.531,0.102,0.184
508,2.16,0.76,2.1,63.88,16.04,5.54,17.008,0.54,0.1,0.18
516,2.157,0.765,1.0,63.961,16.098,5.588,16.988,0.529,0.098,0.176
524,2.154,0.769,3.1,63.962,16.115,5.615,17.031,0.538,0.096,0.173
531,2.17,0.774,3.2,64.208,16.302,5.736,16.981,0.528,0.094,0.17
540,2.148,0.759,3.1,64.333,16.426,5.778,16.957,0.519,0.111,0.185
548,2.236,0.745,2.9,64.309,16.691,5.945,16.964,0.545,0.109,0.182
550,2.268,0.732,3.6,64.429,16.714,5.964,16.891,0.536,0.107,0.179
562,2.333,0.772,1.1,64.561,16.684,5.965,16.902,0.544,0.14,0.211
564,2.31,0.759,2.0,64.759,16.603,5.914,16.952,0.534,0.138,0.207
575,2.305,0.763,1.0,64.864,16.559,5.831,16.981,0.525,0.153,0.22
590,2.283,0.75,1.8,64.717,16.467,5.833,16.973,0.533,0.15,0.217
599,2.262,0.754,1.9,64.869,16.525,5.82,16.982,0.525,0.148,0.213
609,2.258,0.742,4.6,65.016,16.484,5.823,17.027,0.516,0.161,0.226
622,2.286,0.73,2.1,65.111,16.556,5.857,16.944,0.508,0.159,0.238
635,2.281,0.766,1.8,65.203,16.609,5.812,16.933,0.5,0.172,0.25
646,2.262,0.754,2.7,65.231,16.554,5.846,16.923,0.492,0.169,0.246
661,2.288,0.758,2.8,65.288,16.667,5.909,16.897,0.5,0.167,0.242
672,2.254,0.746,1.8,65.403,16.701,5.881,16.901,0.493,0.164,0.239
689,2.25,0.735,1.3,65.559,16.721,5.882,16.896,0.485,0.162,0.235
700,2.246,0.754,1.3,65.406,16.638,5.855,16.909,0.493,0.159,0.232
705,2.257,0.743,3.6,65.4,16.643,5.843,16.953,0.486,0.157,0.229
718,2.296,0.746,2.4,65.507,16.69,5.859,16.92,0.479,0.169,0.239
732,2.319,0.736,3.1,65.403,16.722,5.861,16.91,0.472,0.167,0.236
737,2.356,0.726,2.3,65.479,16.781,5.904,16.897,0.479,0.164,0.233
740,2.392,0.73,2.4,65.486,16.757,5.892,16.868,0.473,0.162,0.23
758,2.387,0.747,3.4,65.653,16.933,5.907,16.891,0.493,0.16,0.24
770,2.395,0.763,2.2,65.724,17.026,5.895,16.855,0.5,0.158,0.237
773,2.39,0.753,1.7,65.844,16.974,5.831,16.879,0.506,0.169,0.247
789,2.41,0.744,2.1,65.859,17.0,5.846,16.887,0.5,0.167,0.244
792,2.418,0.772,2.2,65.899,17.051,5.899,16.878,0.506,0.165,0.241
806,2.438,0.788,3.3,66.0,17.062,5.888,16.844,0.5,0.162,0.238
818,2.481,0.778,2.1,66.099,17.062,5.926,16.819,0.494,0.16,0.235
823,2.463,0.78,1.1,66.159,17.012,5.902,16.818,0.5,0.159,0.232
835,2.47,0.771,3.2,66.072,17.0,5.916,16.849,0.494,0.157,0.229
838,2.512,0.798,2.4,65.917,17.06,5.952,16.818,0.5,0.155,0.226
857,2.529,0.788,1.0,65.906,17.106,5.976,16.784,0.494,0.153,0.224
868,2.5,0.791,1.6,65.872,17.093,5.977,16.802,0.488,0.151,0.221
877,2.506,0.793,1.0,65.667,17.0,5.943,16.782,0.483,0.161,0.23
888,2.489,0.784,2.1,65.648,16.977,5.932,16.827,0.489,0.159,0.227
897,2.483,0.787,1.6,65.697,16.955,5.91,16.842,0.494,0.169,0.236
916,2.467,0.8,4.3,65.789,17.089,5.911,16.887,0.489,0.167,0.233
921,2.473,0.802,1.7,65.824,17.187,5.945,16.877,0.484,0.165,0.231
936,2.457,0.804,2.0,65.913,17.174,5.913,16.861,0.478,0.163,0.228
939,2.441,0.796,0.6,65.763,17.118,5.882,16.852,0.473,0.161,0.226
949,2.426,0.809,2.3,65.809,16.989,5.83,16.877,0.468,0.16,0.223
956,2.442,0.821,2.8,65.726,16.979,5.832,16.871,0.474,0.158,0.221
969,2.448,0.812,1.3,65.615,16.927,5.823,16.849,0.469,0.167,0.229
979,2.423,0.814,3.3,65.598,16.907,5.814,16.858,0.474,0.165,0.227
981,2.429,0.816,1.8,65.612,16.898,5.827,16.843,0.48,0.173,0.235
986,2.434,0.818,2.4,65.323,16.818,5.818,16.795,0.475,0.172,0.232
997,2.42,0.82,2.4,65.4,16.88,5.82,16.807,0.49,0.17,0.23
1002,2.436,0.822,1.3,65.406,16.911,5.812,16.792,0.495,0.168,0.228
1017,2.431,0.814,2.1,65.314,16.853,5.784,16.782,0.51,0.167,0.225
1031,2.417,0.806,2.9,65.33,16.816,5.757,16.804,0.515,0.175,0.233
1054,2.433,0.808,2.9,65.356,16.817,5.779,16.782,0.519,0.173,0.231
1063,2.448,0.81,1.6,65.429,16.771,5.79,16.748,0.514,0.181,0.238
1081,2.453,0.811,2.5,65.472,16.717,5.764,16.758,0.509,0.189,0.245
1091,2.467,0.813,2.5,65.346,16.692,5.794,16.75,0.505,0.187,0.243
1095,2.463,0.815,2.3,65.315,16.639,5.815,16.725,0.5,0.194,0.25
1098,2.468,0.807,2.6,65.349,16.633,5.826,16.721,0.495,0.193,0.248
1114,2.464,0.809,0.8,65.482,16.636,5.827,16.739,0.509,0.191,0.255
1127,2.468,0.802,1.2,65.459,16.568,5.811,16.762,0.523,0.189,0.252
1129,2.455,0.795,1.8,65.446,16.554,5.777,16.78,0.518,0.188,0.25
1136,2.442,0.796,1.6,65.398,16.522,5.761,16.755,0.513,0.186,0.248
1141,2.421,0.798,1.9,65.395,16.526,5.728,16.755,0.509,0.184,0.246
1156,2.426,0.791,1.0,65.391,16.53,5.748,16.73,0.504,0.183,0.243
1167,2.414,0.784,3.5,65.336,16.509,5.733,16.741,0.5,0.181,0.241
1173,2.41,0.786,2.2,65.453,16.615,5.761,16.745,0.513,0.179,0.248
1181,2.432,0.788,3.6,65.475,16.525,5.746,16.729,0.508,0.186,0.254
1190,2.437,0.79,1.3,65.496,16.63,5.807,16.726,0.513,0.185,0.252
1203,2.433,0.783,0.9,65.425,16.55,5.792,16.73,0.525,0.183,0.25
1220,2.421,0.793,0.5,65.446,16.603,5.81,16.751,0.529,0.182,0.248
1224,2.402,0.795,0.8,65.328,16.5,5.762,16.736,0.525,0.18,0.246
1240,2.398,0.797,4.0,65.244,16.447,5.756,16.753,0.528,0.179,0.244
