ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
968,1.3,1.2,0.4,40.4,11.8,4.0,17.04,0.6,0.1,0.1
986,1.273,1.091,0.9,39.455,11.273,3.818,17.209,0.545,0.091,0.091
1009,1.25,1.083,0.8,38.417,10.667,3.583,17.0,0.5,0.083,0.083
1024,1.308,1.154,0.4,39.846,10.615,3.615,17.108,0.462,0.077,0.077
1032,1.286,1.214,1.3,39.786,10.214,3.571,17.2,0.429,0.071,0.071
1065,1.267,1.2,0.7,39.067,10.667,3.8,17.167,0.4,0.067,0.067
1078,1.188,1.25,2.4,38.625,10.375,3.562,17.094,0.375,0.062,0.062
1107,1.294,1.235,1.8,37.882,10.353,3.529,17.171,0.353,0.118,0.176
1124,1.444,1.333,0.6,37.778,10.222,3.5,17.106,0.333,0.167,0.222
1151,1.421,1.263,1.4,36.789,10.0,3.421,16.916,0.316,0.158,0.211
1189,1.45,1.25,0.7,37.45,10.3,3.45,16.85,0.3,0.15,0.2
1208,1.429,1.238,0.5,37.857,10.476,3.476,16.943,0.286,0.143,0.19
1225,1.409,1.227,2.9,38.0,10.273,3.364,16.873,0.273,0.136,0.182
1248,1.435,1.261,0.4,38.826,10.652,3.565,16.622,0.261,0.13,0.174
1263,1.458,1.208,1.9,38.333,10.417,3.542,16.808,0.25,0.125,0.167
1274,1.48,1.28,0.7,38.68,10.68,3.56,16.724,0.24,0.16,0.2
1301,1.423,1.269,1.3,39.538,10.769,3.5,16.7,0.231,0.154,0.192
1315,1.37,1.296,1.0,39.333,10.926,3.407,16.678,0.222,0.148,0.185
1334,1.393,1.357,0.7,39.143,10.929,3.429,16.6,0.214,0.143,0.179
1349,1.414,1.345,0.5,39.31,10.828,3.379,16.659,0.207,0.138,0.172
1375,1.4,1.367,1.5,38.9,10.767,3.367,16.727,0.2,0.133,0.167
1384,1.419,1.419,2.8,38.903,10.839,3.355,16.89,0.194,0.129,0.161
1402,1.438,1.375,1.0,39.219,11.094,3.5,16.878,0.188,0.125,0.156
1425,1.394,1.364,0.9,38.97,11.0,3.455,16.952,0.182,0.121,0.152
1434,1.382,1.353,1.5,39.559,11.029,3.5,17.056,0.176,0.118,0.147
1455,1.429,1.343,1.9,39.4,11.171,3.514,17.097,0.171,0.114,0.143
1486,1.444,1.361,1.9,39.583,11.361,3.667,17.094,0.167,0.111,0.139
1505,1.405,1.378,1.5,39.432,11.432,3.622,17.038,0.189,0.108,0.135
1525,1.421,1.421,1.3,39.263,11.658,3.632,17.042,0.184,0.105,0.132
1545,1.41,1.41,1.0,39.615,11.718,3.744,17.097,0.179,0.103,0.128
1573,1.4,1.4,0.8,39.925,11.825,3.775,17.035,0.2,0.1,0.125
1600,1.366,1.39,1.7,39.951,11.805,3.707,17.09,0.195,0.098,0.122
1614,1.357,1.357,2.2,40.214,12.0,3.762,17.112,0.19,0.095,0.119
1627,1.395,1.326,0.6,40.535,12.163,3.814,17.149,0.209,0.093,0.116
1645,1.386,1.364,1.6,40.614,12.091,3.795,17.132,0.205,0.091,0.114
1674,1.378,1.333,1.7,40.711,12.067,3.8,17.127,0.222,0.111,0.133
1692,1.391,1.326,1.1,40.913,12.174,3.848,17.085,0.217,0.109,0.13
1723,1.383,1.298,0.3,40.681,12.128,3.83,17.051,0.213,0.106,0.128
1735,1.375,1.292,1.8,40.458,12.0,3.812,17.254,0.229,0.104,0.125
1750,1.408,1.306,3.3,40.551,12.041,3.816,17.229,0.245,0.102,0.122
1786,1.52,1.28,0.4,40.5,12.06,3.9,17.152,0.24,0.12,0.14
1792,1.49,1.255,0.7,40.412,11.941,3.863,17.147,0.235,0.118,0.137
1812,1.481,1.231,0.5,40.231,11.885,3.865,17.102,0.231,0.115,0.135
1831,1.472,1.208,0.5,40.075,11.811,3.83,17.117,0.226,0.113,0.132
1860,1.444,1.204,0.9,40.13,11.778,3.852,17.196,0.222,0.111,0.13
1879,1.418,1.218,1.3,40.4,11.818,3.873,17.164,0.218,0.109,0.127
1892,1.429,1.232,1.2,40.661,11.875,3.875,17.162,0.232,0.107,0.125
