ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
207,0.6,1.5,1.3,44.2,10.1,3.2,16.7,0.1,0.2,0.2
224,0.727,1.455,0.6,46.364,10.455,3.455,16.709,0.182,0.182,0.182
257,0.75,1.5,0.7,45.167,10.25,3.417,17.05,0.167,0.167,0.167
261,0.692,1.538,0.9,44.769,10.077,3.308,17.077,0.154,0.154,0.154
267,0.714,1.429,0.7,43.571,10.0,3.214,17.543,0.143,0.143,0.143
308,0.667,1.467,0.3,44.067,9.867,3.133,17.487,0.133,0.133,0.133
324,0.625,1.562,0.7,44.125,9.688,3.062,17.644,0.125,0.125,0.125
340,0.647,1.471,0.7,43.412,9.529,3.059,17.653,0.118,0.118,0.118
376,0.611,1.5,0.5,43.778,9.389,2.889,17.417,0.167,0.111,0.111
1144,0.632,1.421,0.5,43.737,9.526,2.895,17.416,0.158,0.105,0.105
1167,0.6,1.4,0.7,43.15,9.45,2.8,17.515,0.15,0.1,0.1
1171,0.619,1.429,1.2,42.095,9.286,2.714,17.448,0.143,0.095,0.095
1199,0.682,1.455,0.9,42.273,9.455,2.909,17.295,0.136,0.091,0.091
1228,0.652,1.739,1.4,42.261,9.435,2.826,17.139,0.13,0.087,0.087
1244,0.667,1.75,1.0,42.083,9.5,2.917,17.5,0.125,0.125,0.125
1262,0.72,1.72,0.8,41.96,9.52,2.84,17.904,0.16,0.16,0.16
1286,0.731,1.769,1.0,42.115,9.538,2.808,17.788,0.154,0.154,0.154
1295,0.704,1.778,0.8,41.481,9.407,2.741,17.67,0.185,0.148,0.148
1320,0.714,1.714,2.4,41.464,9.393,2.786,17.814,0.179,0.143,0.143
1346,0.759,1.759,2.5,41.793,9.793,2.828,17.762,0.207,0.138,0.138
1363,0.8,1.767,1.4,42.3,10.133,2.9,17.787,0.233,0.167,0.167
1386,0.774,1.871,0.6,42.129,10.129,2.935,17.535,0.226,0.161,0.161
1408,0.75,1.969,0.2,41.469,10.0,2.875,17.572,0.219,0.156,0.156
1429,0.727,2.091,1.9,40.818,9.818,2.788,17.7,0.212,0.152,0.152
1452,0.794,2.118,1.4,40.412,9.765,2.824,17.641,0.206,0.147,0.147
1464,0.829,2.114,2.4,40.171,9.8,2.886,17.571,0.2,0.143,0.143
1491,0.833,2.167,2.2,40.417,10.028,3.111,17.497,0.194,0.139,0.139
1511,0.838,2.189,1.0,40.784,10.189,3.135,17.514,0.189,0.162,0.162
