ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
215,1.5,1.2,0.6,47.3,10.5,4.7,0.473,0.615,19.66,0.9,0.2,0.2,0.2
221,1.5,1.2,1.5,46.4,10.3,4.4,0.446,0.54,20.49,1.0,0.2,0.2,0.3
255,1.6,1.1,2.1,46.3,9.3,3.8,0.44,0.64,20.69,0.8,0.2,0.2,0.2
273,1.7,0.8,2.7,47.1,9.8,3.9,0.429,0.715,20.6,0.7,0.2,0.2,0.2
307,1.9,0.8,0.9,49.0,10.2,4.2,0.446,0.665,19.98,0.7,0.1,0.1,0.2
318,1.8,1.1,1.4,50.3,11.0,4.3,0.421,0.623,19.5,0.6,0.1,0.1,0.2
335,1.8,1.2,2.2,53.4,11.6,4.2,0.379,0.603,19.07,0.6,0.2,0.2,0.2
358,2.2,1.0,3.2,54.4,12.8,4.9,0.392,0.669,19.38,0.6,0.2,0.2,0.1
366,2.1,1.0,0.8,56.9,13.3,5.4,0.406,0.669,19.21,0.7,0.1,0.1,0.1
390,2.1,1.1,1.0,57.6,12.8,5.2,0.406,0.644,19.4,0.6,0.1,0.1,0.1
408,2.1,0.8,1.0,56.1,13.8,5.2,0.355,0.687,17.93,0.6,0.1,0.1,0.1
430,2.2,0.7,0.5,57.5,14.6,5.8,0.379,0.787,17.72,0.8,0.1,0.1,0.0
448,2.0,1.0,1.3,55.7,14.1,5.4,0.358,0.754,18.05,0.9,0.1,0.1,0.0
477,1.8,1.1,1.0,55.5,14.2,5.4,0.356,0.72,18.21,1.1,0.1,0.1,0.0
500,1.4,1.3,2.1,55.0,13.9,4.9,0.314,0.745,18.62,1.1,0.1,0.1,0.0
518,1.5,1.1,1.9,54.6,14.0,5.0,0.32,0.774,18.72,1.2,0.1,0.1,0.0
527,1.5,1.0,1.6,53.1,14.0,5.4,0.356,0.794,17.8,1.1,0.0,0.0,0.0
549,1.4,1.0,3.0,50.6,13.7,5.1,0.347,0.794,17.69,0.9,0.0,0.0,0.0
552,1.4,1.2,2.3,48.8,12.3,4.5,0.351,0.761,17.0,0.8,0.0,0.0,0.0
600,1.6,1.0,1.4,48.8,13.0,4.7,0.347,0.711,16.69,0.8,0.0,0.0,0.0
611,1.7,1.3,1.2,50.1,12.5,4.8,0.369,0.677,16.19,0.8,0.0,0.0,0.0
647,1.6,1.5,2.5,50.2,12.7,4.7,0.357,0.649,15.9,0.7,0.0,0.0,0.0
668,2.1,1.2,3.0,51.0,13.3,5.2,0.382,0.582,15.25,0.6,0.0,0.0,0.0
677,2.2,1.2,3.1,50.7,13.3,4.9,0.364,0.515,14.86,0.4,0.0,0.0,0.0
690,2.7,1.0,0.5,50.9,14.3,5.5,0.396,0.49,14.8,0.4,0.0,0.0,0.0
719,2.5,1.0,1.2,51.5,13.5,5.1,0.365,0.48,15.13,0.3,0.0,0.0,0.0
738,2.6,1.1,2.7,50.8,13.7,5.2,0.364,0.43,15.57,0.3,0.0,0.0,0.0
739,2.6,1.1,2.2,52.4,13.5,5.0,0.356,0.43,15.15,0.3,0.1,0.1,0.0
763,2.5,0.9,1.5,54.8,14.5,5.1,0.336,0.463,16.14,0.3,0.2,0.2,0.0
781,2.6,1.0,1.7,54.6,14.6,5.3,0.345,0.513,16.34,0.3,0.2,0.2,0.0
817,2.5,0.7,2.9,54.8,14.9,5.4,0.344,0.546,15.98,0.3,0.2,0.2,0.0
825,2.7,0.6,2.2,54.2,15.5,5.7,0.347,0.542,15.94,0.2,0.2,0.2,0.0
852,2.8,0.8,2.2,53.1,15.7,6.1,0.365,0.608,16.24,0.2,0.2,0.2,0.1
875,2.7,0.7,1.6,54.0,16.0,6.3,0.372,0.608,16.3,0.3,0.3,0.3,0.1
896,2.3,0.8,1.2,53.3,15.8,6.1,0.364,0.668,16.39,0.2,0.3,0.3,0.1
